id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
6PwCf8udvbESgSZR,130 syllabus_2 S 2023,single reasoning,"Is it permissible to provide incorrect information when completing a homework assignment?
","No, it is essential that you complete this Homework assignment as accurately as possible because a lot of discussion activities will rely on your completed Food Intake Analysis.
",,,,,,"It is essential that you complete this Homework assignment as accurately as possible because a number of discussion activities will make use of your completed Food Intake Analysis.
",,,,
LcTKjryEgswWP3fL,FIN 408 Syllabus updated v2,single factual,How much does class participation count for my final grade?,10%,Class participation (individual) 10%,,,,,,,,,
6CBMrkxql7cY5RbF,1. Syllabus 2023,single factual,What is the Congressional Budget Office website?,The Congressional Budget Office website is http://www.cbo.gov/.,"Congressional Budget Office
http://www.cbo.gov/",,,,,,,,,
sSb8kvd0uP3ZBXfm,2023_Chem122_syllabus,multi factual,What are the types of homework in this class?,There are problem sets and On-Line Web-based Learning assignments assigned for each chapter.,"There are two types of homework in this class.
(A)Problem sets are assigned for each chapter. Those include questions that will help you
apply the concepts to problem, and are great practice for examinations. ","(B) On-Line Web-based Learning (OWL) are assigned for each chapter. These are
challenging and require connecting the dots and critical thinking, but they tend to be more
narrowly focused on the specific learning section",,,,,,,,
k7WMC2E9XxN35wHT,Acct 371 Syllabus - Spring,multi reasoning,"What percentage of the grade do the exams, pre-class quizzes, and quizzes make up?","The exams, pre-class quizzes, and quizzes will make up 65% of your grade.",,,,,,There are three exams that are each weighted as 15% of the grade.,The three exams will make up 45% of the grade in total.,Pre-class quizzes are 10% of the grade in total.,Quizzes are 10% of the grade in total.,
2U3qQi9jS6FhF12P,syllabus_fall2022-revised2,summarization,What kind of milestones will the students acquire after completing this course in Statistical modeling for health data science?,"This course aims to equip students with modeling skills to analyze and interpret relationships in real-world data. It develops statistical and programming expertise for complex datasets, using simple/multiple linear regression, logistic regression, Poisson regression, and machine learning. Students will learn to build statistical models to describe and evaluate multidimensional relationships in real-world data.",The aim of this course is to provide students with the modeling skills necessary to analyze and interpret relationships between variables in real world data.,"Specifically, they will develop the statistical and programming expertise necessary to analyze datasets with complex relationships between variables.","Students will gain hands-on experience analyzing data using simple/multiple linear regression, logistic regression, Poisson regression and an introduction to machine learning.",Students will learn how to build statistical models that can be used to describe and evaluate multidimensional relationships that exist in the real world.,,,,,,
7ZxjXMEuojjLeydH,Syllabus.Astron101.summer2023,single reasoning,Am I able to get tutoring online?,There is free online tutoring.,,,,,, See link on left side of Blackboard.,,,,
a3pfS3XRQuS2wdfz,315 Lab Syllabus 22-01-11,summarization,What will happen if I don't complete the Pre-Lab preparation before class?,"You will not be allowed to attend lab class if you do not complete the Pre-Lab by 6 pm the day before class. 40% of your grade comes from the Pre-Lab work, so even if you were allowed to participate, a significant portion of your grade would be missing.","There are two parts to the lab notebook grade. The Pre-Lab (40%), the Group-Lab notebook (60%). ",The Pre-Lab must be completed by 6 pm the day before lab for grading or you may not attend.,,,,,,,,
QtKG8o803U6oMMpt,796 Syllabus,single factual,How many credits does this course award?,"3 credits, with the entire course being 135 total hours.",Credits: 3. The credit standard for this course is met by an expectation of a total of 135 hours of student engagement with the courses learning activities (45 hours per credit).,,,,,,,,,
1yYHjOM60yvDH3yC,Syllabus Bio 544 lecture S23,summarization,What are the administrative details for exams and quizzes? ,"You will have 3 exams in the main course and additionally lab quizzes and exams which you will be provided details on by Josh in your lab section. Exam 1 will take place on Monday, March 27. Exam 2 will take place on Monday, April 24. Exam 3, which is not cumulative will take place at a to-be-determined time. All 3 of the main exams each count 20% towards your final grade. The lab section grade in total counts 35% towards your final grade. Again, details about lab quizzes and exams will be given by Josh in your lab section. ",You’ll also have lab quizzes and exams; Josh will give the details on these in your lab section. ,"Exams:
We will have three exams:
Exam 1 - Monday, March 27
Exam 2 - Monday, April 24
Exam 3 (not cumulative) - During the final exam period, date TBA.","Exams will be timed, but will be available during an extended time window on exam day. Most exam questions will be open format ""thought questions"" that require you to integrate the concepts and information that you have acquired and to explain your reasoning. You may be asked to apply the concepts you’ve learned to new problems that were not explicitly covered in class. Exams are open-book.","Final grade consists of: 35% Laboratory, 20% Exam 1, 20% Exam 2, 20% Exam 3",,,,,,
