name,filename,course,major,area,university,num_pages
1. Syllabus 2023,1. Syllabus 2023,Federal Budgeting Process,Public Policy,Social Sciences,University of Massachusetts Amherst,4
130 syllabus_2 S 2023,130 syllabus_2 S 2023,Nutrition for a Healthy Lifestyle,Nutrition,Public Health,University of Massachusetts Amherst,8
151 syllabus fall 2022 Rounds,151 syllabus fall 2022 Rounds,Introductory Biology,Biology,STEM,University of Massachusetts Amherst,16
2023_Chem122_syllabus,2023_Chem122_syllabus,General Chemistry,Chemistry,STEM,University of Massachusetts Amherst,7
315 Lab Syllabus 22-01-11,315 Lab Syllabus 22-01-11,Quantitative Analysis Lab,Chemistry,STEM,University of Massachusetts Amherst,19
796 Syllabus,796 Syllabus,Introduction to Learning SciencesÊ,Educational Psychology,Education,University of WisconsinÐMadison,9
Acct 371 Syllabus - Spring,Acct 371 Syllabus - Spring,Individual Income Taxes,Accounting,Business,University of Massachusetts Amherst,6
Animlsci581 Syllabus-v4,Animlsci581 Syllabus-v4,Cancer Biology,Veterinary and Animal Sciences,Life Sciences,University of Massachusetts Amherst,4
BCH8016 Solid State Analysis (SYL) 012219 - revised,BCH8016 Solid State Analysis (SYL) 012219 - revised,Solid State Analysis,Chemistry,STEM,City University of Hong Kong,7
BDES-Syllabus-2021-v1rsb,BDES-Syllabus-2021-v1rsb,"Big Data, Education, and Society",Education,Education,University of Pennsylvania,7
101-f22-syll,101-f22-syll,People and Their Language,Linguistics,Humanities,University of Massachusetts Amherst,5
BIOCHEM 320 Syllabus SP23 2 Feb 2023,BIOCHEM 320 Syllabus SP23 2 Feb 2023,Elementary Biochemistry,Chemistry,STEM,University of Massachusetts Amherst,12
Biol582_2022_Syllabus,Biol582_2022_Syllabus,From DNA to Diversity: The molecular basis for evolutionary change,Biology,STEM,University of Massachusetts Amherst,7
Syllabus_IntroGIS_Fall2022,Syllabus_IntroGIS_Fall2022,Introduction to GIS,Public Policy,Social Sciences,University of Massachusetts Amherst,13
CS Syllabus for 568,CS Syllabus for 568,Artificial Intelligence for Adaptive Educational Technology,Computer Science,STEM,Worcester Polytechnic Institute,4
"CS4501-001_ Privacy in the Internet Age, Fall 2021_1","CS4501-001_ Privacy in the Internet Age, Fall 2021_1",Privacy in the Internet Age,Computer Science,STEM,University of Virginia,3
